[MC-INFO], MiningRunTime:2460min, NumOfUnloadStations:3, NumOfTrucks:11, PROCESSING_TICK:30, 

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:239:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:239:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:59:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:119:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:59:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:239:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:239:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:119:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:119:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:239:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:299:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:238:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:238:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:58:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:118:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:58:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:238:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:238:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:118:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:118:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:238:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:298:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:237:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:237:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:57:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:117:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:57:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:237:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:237:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:117:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:117:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:237:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:297:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:236:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:236:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:56:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:116:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:56:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:236:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:236:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:116:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:116:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:236:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:296:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:235:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:235:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:55:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:115:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:55:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:235:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:235:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:115:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:115:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:235:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:295:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:234:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:234:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:54:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:114:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:54:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:234:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:234:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:114:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:114:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:234:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:294:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:233:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:233:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:53:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:113:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:53:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:233:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:233:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:113:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:113:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:233:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:293:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:232:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:232:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:52:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:112:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:52:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:232:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:232:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:112:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:112:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:232:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:292:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:231:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:231:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:51:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:111:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:51:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:231:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:231:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:111:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:111:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:231:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:291:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:230:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:230:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:50:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:110:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:50:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:230:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:230:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:110:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:110:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:230:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:290:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:229:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:229:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:49:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:109:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:49:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:229:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:229:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:109:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:109:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:229:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:289:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:228:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:228:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:48:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:108:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:48:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:228:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:228:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:108:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:108:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:228:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:288:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:227:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:227:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:47:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:107:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:47:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:227:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:227:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:107:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:107:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:227:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:287:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:226:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:226:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:46:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:106:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:46:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:226:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:226:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:106:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:106:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:226:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:286:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:45:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:105:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:45:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:105:min
